,fps,duration,cudaTotal
avg_64,30.1576,33.2075,0
max_64,31.0545,43.498,0
min_64,22.9895,32.2014,0
32,30.3039,32.999,0
33,30.9634,32.2961,0
34,30.8936,32.3691,0
35,30.4438,32.8474,0
36,30.2473,33.0608,0
37,30.0633,33.2632,0
38,30.2531,33.0544,0
39,29.5811,33.8054,0
40,30.4309,32.8613,0
41,30.9944,32.2639,0
42,30.8806,32.3828,0
43,30.2132,33.0981,0
44,30.4167,32.8767,0
45,30.879,32.3845,0
46,30.2478,33.0603,0
47,30.4642,32.8254,0
48,31.0449,32.2114,0
49,30.39,32.9055,0
50,30.0792,33.2456,0
51,30.3457,32.9536,0
52,28.6247,34.9348,0
53,30.3655,32.9321,0
54,30.5729,32.7087,0
55,29.3393,34.084,0
56,30.0949,33.2283,0
57,30.7658,32.5037,0
58,30.2125,33.0989,0
59,30.33,32.9707,0
60,30.647,32.6296,0
61,29.8873,33.459,0
62,30.4112,32.8826,0
63,29.8954,33.45,0
64,30.5032,32.7834,0
65,30.4778,32.8108,0
66,31.0545,32.2014,0
67,30.8364,32.4292,0
68,30.8114,32.4556,0
69,30.9728,32.2864,0
70,30.8325,32.4333,0
71,30.8123,32.4546,0
72,30.2098,33.1018,0
73,29.1913,34.2568,0
74,30.1154,33.2056,0
75,30.3412,32.9585,0
76,29.6917,33.6794,0
77,30.5416,32.7422,0
78,30.6516,32.6248,0
79,30.7374,32.5337,0
80,29.5926,33.7922,0
81,30.0721,33.2534,0
82,29.6056,33.7773,0
83,22.9895,43.498,0
84,30.1816,33.1328,0
85,29.9512,33.3877,0
86,29.5808,33.8057,0
87,30.6532,32.623,0
88,29.3738,34.0439,0
89,30.1128,33.2085,0
90,30.5512,32.7319,0
91,29.394,34.0205,0
92,30.4689,32.8203,0
93,29.5898,33.7954,0
94,29.5054,33.8921,0
95,30.4011,32.8936,0
