,fps,duration,cudaTotal
avg_64,8.89245,112.471,0
max_64,9.16192,115.843,0
min_64,8.63235,109.147,0
32,9.0352,110.678,0
33,8.86542,112.798,0
34,8.98975,111.238,0
35,9.00271,111.078,0
36,9.02664,110.783,0
37,8.91772,112.136,0
38,9.06475,110.317,0
39,8.91353,112.189,0
40,8.88792,112.512,0
41,9.02238,110.835,0
42,8.99631,111.157,0
43,8.93469,111.923,0
44,8.72068,114.67,0
45,9.0599,110.376,0
46,8.74265,114.382,0
47,8.79959,113.642,0
48,8.68146,115.188,0
49,8.63235,115.843,0
50,8.99963,111.116,0
51,8.9239,112.059,0
52,9.05149,110.479,0
53,8.93933,111.865,0
54,8.98549,111.291,0
55,8.90059,112.352,0
56,8.82542,113.309,0
57,8.91559,112.163,0
58,8.74373,114.368,0
59,8.68518,115.139,0
60,8.90574,112.287,0
61,9.04322,110.58,0
62,8.81793,113.405,0
63,8.74638,114.333,0
64,8.75169,114.264,0
65,8.83997,113.123,0
66,8.85679,112.908,0
67,8.83841,113.143,0
68,8.96272,111.573,0
69,8.83452,113.192,0
70,9.01052,110.981,0
71,8.83177,113.228,0
72,8.95035,111.728,0
73,9.01623,110.911,0
74,8.83071,113.241,0
75,8.84245,113.091,0
76,8.78819,113.789,0
77,8.91148,112.215,0
78,8.83665,113.165,0
79,8.95269,111.698,0
80,8.82918,113.261,0
81,8.8317,113.229,0
82,8.87418,112.687,0
83,8.82941,113.258,0
84,8.9405,111.851,0
85,9.16192,109.147,0
86,8.80088,113.625,0
87,8.93707,111.894,0
88,9.02664,110.783,0
89,8.92499,112.045,0
90,8.91722,112.143,0
91,8.84833,113.016,0
92,8.80966,113.512,0
93,8.74071,114.407,0
94,8.94964,111.736,0
95,8.86227,112.838,0
