,fps,duration,cudaTotal
avg_64,21.1056,47.4202,0
max_64,22.0557,54.04,0
min_64,18.5048,45.3398,0
32,21.7244,46.0312,0
33,20.7405,48.2148,0
34,20.689,48.335,0
35,20.5147,48.7456,0
36,21.2706,47.0132,0
37,21.057,47.4902,0
38,21.8944,45.6738,0
39,20.8756,47.9028,0
40,21.2224,47.1201,0
41,21.9443,45.5698,0
42,20.8526,47.9556,0
43,20.9093,47.8257,0
44,21.4918,46.5293,0
45,21.1807,47.2129,0
46,20.7672,48.1528,0
47,20.6458,48.436,0
48,21.0617,47.4795,0
49,21.3467,46.8457,0
50,21.8547,45.7568,0
51,21.4644,46.5889,0
52,20.2536,49.374,0
53,21.3382,46.8643,0
54,21.0665,47.4688,0
55,18.5048,54.04,0
56,20.5083,48.7607,0
57,21.164,47.25,0
58,21.5189,46.4707,0
59,22.0557,45.3398,0
60,19.2109,52.0537,0
61,20.8741,47.9062,0
62,21.6006,46.2949,0
63,20.7746,48.1357,0
64,21.1907,47.1904,0
65,21.4464,46.6279,0
66,20.9061,47.833,0
67,21.0656,47.4707,0
68,21.1164,47.3564,0
69,21.2065,47.1553,0
70,20.9944,47.6318,0
71,21.954,45.5498,0
72,21.4455,46.6299,0
73,21.2863,46.9785,0
74,20.5738,48.6055,0
75,21.3293,46.8838,0
76,21.3471,46.8447,0
77,21.7147,46.0518,0
78,20.6456,48.4365,0
79,20.975,47.6758,0
80,20.9356,47.7656,0
81,21.4338,46.6553,0
82,20.566,48.624,0
83,21.5833,46.332,0
84,21.1444,47.2939,0
85,21.6011,46.2939,0
86,21.694,46.0957,0
87,21.1513,47.2783,0
88,21.4293,46.665,0
89,21.5879,46.3223,0
90,20.6844,48.3457,0
91,20.2428,49.4004,0
92,20.8507,47.96,0
93,21.6262,46.2402,0
94,21.9672,45.5225,0
95,20.6869,48.3398,0
