,fps,duration,cudaTotal
avg_64,2.58241,388.01,0
max_64,2.74343,425.383,0
min_64,2.35082,364.508,0
32,2.73294,365.906,0
33,2.70672,369.451,0
34,2.54519,392.897,0
35,2.5273,395.68,0
36,2.55353,391.615,0
37,2.72371,367.146,0
38,2.53767,394.062,0
39,2.52551,395.959,0
40,2.7374,365.311,0
41,2.38467,419.346,0
42,2.70093,370.242,0
43,2.7137,368.5,0
44,2.70477,369.717,0
45,2.35082,425.383,0
46,2.50899,398.566,0
47,2.70046,370.307,0
48,2.51324,397.893,0
49,2.51576,397.494,0
50,2.69783,370.668,0
51,2.55687,391.104,0
52,2.70725,369.379,0
53,2.51882,397.012,0
54,2.5279,395.586,0
55,2.52676,395.764,0
56,2.55283,391.723,0
57,2.51716,397.273,0
58,2.51888,397.002,0
59,2.73351,365.83,0
60,2.55409,391.529,0
61,2.53781,394.041,0
62,2.38446,419.383,0
63,2.71284,368.617,0
64,2.37369,421.285,0
65,2.39955,416.744,0
66,2.7091,369.127,0
67,2.53737,394.109,0
68,2.72456,367.031,0
69,2.53878,393.891,0
70,2.74343,364.508,0
71,2.51355,397.844,0
72,2.50486,399.225,0
73,2.54051,393.621,0
74,2.51767,397.193,0
75,2.39773,417.061,0
76,2.39634,417.303,0
77,2.53157,395.012,0
78,2.50948,398.488,0
79,2.67066,374.439,0
80,2.5217,396.559,0
81,2.694,371.195,0
82,2.71175,368.766,0
83,2.69678,370.812,0
84,2.70422,369.793,0
85,2.70519,369.66,0
86,2.52495,396.047,0
87,2.51136,398.191,0
88,2.69103,371.605,0
89,2.50497,399.207,0
90,2.72042,367.59,0
91,2.68394,372.586,0
92,2.35632,424.391,0
93,2.69312,371.316,0
94,2.6851,372.426,0
95,2.53024,395.219,0
