,fps,duration,cudaTotal
avg_64,5.73795,174.474,0
max_64,6.01285,197.963,0
min_64,5.05145,166.311,0
32,5.88942,169.796,0
33,5.89633,169.597,0
34,5.90832,169.253,0
35,5.83084,171.502,0
36,5.61504,178.093,0
37,5.96025,167.778,0
38,5.61664,178.042,0
39,5.6693,176.389,0
40,5.9357,168.472,0
41,5.68064,176.037,0
42,5.67955,176.07,0
43,5.91074,169.184,0
44,5.89753,169.562,0
45,5.63737,177.388,0
46,5.48165,182.427,0
47,5.91432,169.081,0
48,5.99619,166.772,0
49,5.98127,167.188,0
50,5.9026,169.417,0
51,5.83276,171.445,0
52,5.84785,171.003,0
53,5.05145,197.963,0
54,5.89604,169.605,0
55,5.7295,174.535,0
56,5.93224,168.57,0
57,5.68949,175.763,0
58,5.70566,175.265,0
59,5.7027,175.355,0
60,5.62925,177.644,0
61,5.3922,185.453,0
62,5.64023,177.298,0
63,5.84812,170.995,0
64,5.59976,178.579,0
65,5.61899,177.968,0
66,5.70486,175.289,0
67,5.77503,173.159,0
68,6.01285,166.311,0
69,5.71875,174.863,0
70,5.86527,170.495,0
71,5.36176,186.506,0
72,5.8324,171.456,0
73,5.32355,187.845,0
74,5.36831,186.278,0
75,5.90001,169.491,0
76,5.70474,175.293,0
77,5.6448,177.154,0
78,5.89773,169.557,0
79,5.76778,173.377,0
80,5.91983,168.924,0
81,5.66337,176.573,0
82,5.65096,176.961,0
83,5.86178,170.597,0
84,5.69227,175.677,0
85,5.67392,176.245,0
86,5.61508,178.092,0
87,5.70019,175.433,0
88,5.82689,171.618,0
89,5.3903,185.519,0
90,5.88296,169.982,0
91,5.93025,168.627,0
92,5.60653,178.363,0
93,5.572,179.469,0
94,5.95044,168.055,0
95,5.89441,169.652,0
