,fps,duration,cudaTotal
avg_64,2.94139,341.05,0
max_64,3.15812,428.031,0
min_64,2.33628,316.645,0
32,3.11153,321.386,0
33,3.1032,322.248,0
34,3.06997,325.736,0
35,3.13486,318.993,0
36,3.12012,320.501,0
37,3.09588,323.01,0
38,2.85122,350.728,0
39,2.88039,347.176,0
40,2.88789,346.273,0
41,2.8438,351.643,0
42,3.08605,324.039,0
43,3.10734,321.818,0
44,3.04887,327.99,0
45,2.83292,352.993,0
46,3.08626,324.017,0
47,2.8662,348.895,0
48,3.10563,321.996,0
49,3.07109,325.617,0
50,2.69067,371.654,0
51,2.65669,376.408,0
52,3.04713,328.178,0
53,2.87063,348.355,0
54,2.88107,347.094,0
55,3.10063,322.516,0
56,3.13075,319.412,0
57,2.88924,346.111,0
58,3.15812,316.645,0
59,3.04163,328.771,0
60,2.8884,346.213,0
61,3.07981,324.695,0
62,2.87376,347.977,0
63,2.86848,348.617,0
64,2.83048,353.297,0
65,3.06116,326.674,0
66,2.88973,346.053,0
67,2.87762,347.51,0
68,2.88415,346.723,0
69,2.87079,348.336,0
70,2.9086,343.809,0
71,3.098,322.789,0
72,2.68953,371.812,0
73,2.70083,370.256,0
74,2.67581,373.719,0
75,3.06611,326.146,0
76,2.8787,347.379,0
77,2.82445,354.051,0
78,2.87079,348.336,0
79,3.08638,324.004,0
80,3.0825,324.412,0
81,2.80896,356.004,0
82,3.08763,323.873,0
83,2.84948,350.941,0
84,2.85426,350.354,0
85,3.05816,326.994,0
86,3.11447,321.082,0
87,3.09222,323.393,0
88,3.11756,320.764,0
89,2.86835,348.633,0
90,3.09725,322.867,0
91,2.82447,354.049,0
92,2.85237,350.586,0
93,2.33628,428.031,0
94,2.66116,375.775,0
95,2.85049,350.816,0
