,fps,duration,cudaTotal
avg_64,8.05655,124.271,0
max_64,8.58304,135.583,0
min_64,7.37556,116.509,0
32,8.3758,119.392,0
33,8.32402,120.134,0
34,8.1882,122.127,0
35,8.0878,123.643,0
36,7.93328,126.051,0
37,8.26603,120.977,0
38,7.80765,128.08,0
39,7.78938,128.38,0
40,7.87032,127.06,0
41,7.9471,125.832,0
42,8.26747,120.956,0
43,8.1133,123.254,0
44,8.281,120.758,0
45,8.03642,124.434,0
46,8.28017,120.771,0
47,7.92327,126.21,0
48,8.1939,122.042,0
49,8.22682,121.554,0
50,7.86924,127.077,0
51,7.56188,132.242,0
52,8.41085,118.894,0
53,7.92202,126.23,0
54,7.995,125.078,0
55,8.46197,118.176,0
56,8.41828,118.789,0
57,7.90309,126.533,0
58,8.28905,120.641,0
59,8.37046,119.468,0
60,7.96354,125.572,0
61,8.36465,119.551,0
62,7.90008,126.581,0
63,7.97918,125.326,0
64,8.40198,119.02,0
65,8.38142,119.312,0
66,7.79893,128.223,0
67,7.9597,125.633,0
68,7.77123,128.68,0
69,7.88961,126.749,0
70,8.19318,122.053,0
71,8.19239,122.064,0
72,7.37556,135.583,0
73,7.38412,135.426,0
74,7.9203,126.258,0
75,8.12789,123.033,0
76,7.86162,127.2,0
77,7.46078,134.034,0
78,7.89636,126.641,0
79,8.00244,124.962,0
80,8.58304,116.509,0
81,7.94075,125.933,0
82,8.40012,119.046,0
83,7.84987,127.391,0
84,7.93005,126.103,0
85,8.41261,118.869,0
86,8.35734,119.655,0
87,8.4423,118.451,0
88,8.20368,121.896,0
89,8.30454,120.416,0
90,8.27762,120.808,0
91,7.89088,126.729,0
92,7.97471,125.396,0
93,7.57419,132.027,0
94,7.6715,130.353,0
95,7.86736,127.107,0
