,fps,duration,cudaTotal
avg_64,9.42316,106.372,0
max_64,10.2359,115.108,0
min_64,8.68746,97.6958,0
32,9.44094,105.922,0
33,9.92811,100.724,0
34,10.1746,98.2842,0
35,9.99185,100.082,0
36,10.0814,99.1929,0
37,9.47911,105.495,0
38,9.4344,105.995,0
39,9.07427,110.202,0
40,9.96628,100.338,0
41,8.88962,112.491,0
42,10.0148,99.8525,0
43,9.69798,103.114,0
44,9.35613,106.882,0
45,9.55634,104.643,0
46,9.33872,107.081,0
47,8.95676,111.647,0
48,9.78056,102.244,0
49,9.43235,106.018,0
50,8.86595,112.791,0
51,8.99429,111.182,0
52,9.44062,105.925,0
53,9.02871,110.758,0
54,8.96033,111.603,0
55,9.40109,106.371,0
56,9.25073,108.1,0
57,9.27931,107.767,0
58,9.91806,100.826,0
59,9.91667,100.84,0
60,8.88099,112.6,0
61,9.93056,100.699,0
62,8.85679,112.908,0
63,8.93301,111.944,0
64,9.93798,100.624,0
65,9.85174,101.505,0
66,8.90195,112.335,0
67,9.4633,105.671,0
68,10.2359,97.6958,0
69,8.94147,111.838,0
70,10.0479,99.5229,0
71,9.31413,107.364,0
72,8.85315,112.954,0
73,8.84184,113.099,0
74,8.89167,112.465,0
75,9.04234,110.591,0
76,9.87254,101.291,0
77,8.94433,111.803,0
78,9.46264,105.679,0
79,9.3951,106.438,0
80,10.13,98.7168,0
81,8.9621,111.581,0
82,10.0786,99.2197,0
83,9.90444,100.965,0
84,8.85147,112.976,0
85,9.99902,100.01,0
86,10.107,98.9414,0
87,9.33812,107.088,0
88,10.049,99.5127,0
89,9.57806,104.405,0
90,9.29237,107.615,0
91,8.95347,111.688,0
92,8.68746,115.108,0
93,8.87287,112.703,0
94,8.9723,111.454,0
95,9.0569,110.413,0
